stall_name,type_of_shop,latitude,longitude,closing_time,day_of_week,weather,holiday_flag,leftovers_servings
stall_86,western_food_stall,1.43403,103.95365,22,Saturday,sunny,0,17.0
stall_42,bakery,1.35086,103.94109,22,Thursday,cloudy,0,24.4
stall_127,dim_sum_stall,1.32897,103.83199,22,Saturday,rainy,0,21.0
stall_195,dim_sum_stall,1.36919,103.68719,20,Thursday,sunny,0,14.4
stall_81,bakery,1.24443,103.65098,22,Wednesday,sunny,0,13.1
stall_198,economic_rice_stall,1.42438,103.64581,23,Sunday,cloudy,0,22.7
stall_1,fried_hokkien_mee_stall,1.32694,103.68472,23,Thursday,sunny,0,15.1
stall_49,laksa_stall,1.32577,103.83347,22,Friday,rainy,0,22.5
stall_161,fishball_noodle_stall,1.36205,103.65535,23,Sunday,sunny,0,15.9
stall_53,laksa_stall,1.40151,103.72,22,Friday,sunny,0,17.7
stall_74,beverage_stall,1.20106,103.90845,23,Saturday,rainy,0,12.3
stall_32,fishball_noodle_stall,1.32031,103.62345,20,Saturday,cloudy,1,31.7
stall_62,fried_hokkien_mee_stall,1.3835,103.99489,21,Wednesday,cloudy,0,36.3
stall_4,economic_rice_stall,1.49854,103.85995,23,Monday,sunny,0,31.0
stall_30,economic_rice_stall,1.45461,103.66652,23,Monday,cloudy,0,21.8
stall_40,bakery,1.36266,103.89919,23,Saturday,rainy,0,19.8
stall_131,fishball_noodle_stall,1.43881,103.66788,22,Thursday,rainy,0,19.6
stall_121,dessert_stall,1.32072,103.71826,21,Thursday,cloudy,0,12.8
stall_38,beverage_stall,1.24644,103.71868,23,Tuesday,cloudy,0,14.7
stall_131,fishball_noodle_stall,1.43881,103.66788,21,Sunday,sunny,0,12.2
stall_71,fried_hokkien_mee_stall,1.34656,103.96213,23,Wednesday,cloudy,0,14.7
stall_69,economic_rice_stall,1.41528,103.68144,20,Wednesday,cloudy,0,22.1
stall_77,fried_hokkien_mee_stall,1.32831,103.60387,23,Sunday,sunny,0,21.8
stall_115,western_food_stall,1.42259,103.86825,23,Wednesday,rainy,0,30.5
stall_142,laksa_stall,1.39682,103.60222,23,Thursday,rainy,0,33.2
stall_49,laksa_stall,1.32577,103.83347,21,Friday,rainy,0,13.5
stall_60,bakery,1.31086,103.6631,23,Monday,rainy,0,15.0
stall_191,laksa_stall,1.39553,103.90169,23,Saturday,rainy,0,24.6
stall_99,beverage_stall,1.4386,103.69104,21,Thursday,sunny,0,4.6
stall_33,roti_prata_stall,1.31369,103.99412,22,Sunday,sunny,0,7.0
stall_113,economic_rice_stall,1.20051,103.97023,20,Friday,rainy,1,49.8
stall_4,economic_rice_stall,1.49854,103.85995,21,Thursday,cloudy,0,28.4
stall_40,bakery,1.36266,103.89919,20,Thursday,rainy,0,27.3
stall_87,fishball_noodle_stall,1.32191,103.84826,23,Saturday,sunny,0,12.8
stall_85,laksa_stall,1.27486,103.64112,23,Wednesday,cloudy,0,25.8
stall_184,chicken_rice_stall,1.2635,103.73074,23,Sunday,cloudy,0,19.5
stall_10,laksa_stall,1.26868,103.96217,20,Tuesday,cloudy,0,17.4
stall_176,dessert_stall,1.30084,103.87166,22,Tuesday,cloudy,0,15.0
stall_24,fried_hokkien_mee_stall,1.32656,103.71142,23,Monday,cloudy,0,18.1
